,quater,year,Inventory Change,Spread Change,World Consumption Change,World GDP Change,Assets under management (four largest public U.S. commodity funds),Dow Jones UBS Commodity Index,Open Interest,non-OECD Consumption Growth,non-OECD GDP growth,non-OPEC Production change,y-o-y % OECD Consumption Change,Spare Capacity,Saudi Production Change,WTI Production Change,Capacity percent change,WTI Real Price (GDP Deflated)
17,2Q,2006,39.48,-0.16,0.83,5.24,36.03,13.31,1025.516,2.85,5.24,-0.25,-0.56,1.36,-0.38,32.68,-0.57,99.17
18,3Q,2006,135.31,5.4,1.51,5.1,10.94,-10.26,1138.689,4.2,5.1,1.34,-0.33,1.35,-0.4,11.42,1.43,98.56
19,4Q,2006,80.31,2.93,2.2,5.31,15.76,-2.71,1181.559,5.83,5.31,1.11,-0.21,1.95,-0.72,-0.1,1.28,83.42
20,1Q,2007,-2.94,0.89,1.31,5.2,18.62,4.1,1293.24,5.39,5.2,0.79,-1.46,2.3,-0.76,-8.25,0.96,80.03
21,2Q,2007,-3.7,-0.54,2.35,5.39,15.88,-2.06,1384.608,5.37,5.39,0.94,0.18,2.29,-0.62,-7.8,1.07,88.96
22,3Q,2007,-129.83,-11.99,1.75,5.33,19.33,11.44,1494.831,4.46,5.33,0.1,-0.19,2.07,-0.54,6.64,-0.14,102.57
23,4Q,2007,-113.19,-11.4,2.37,5.18,21.9,11.08,1422.969,5.57,5.18,0.59,0.12,1.62,0.18,51.15,0.67,122.93
24,1Q,2008,-34.77,-8.84,0.74,4.59,40.3,17.23,1402.298,4.3,4.59,0.39,-1.85,1.51,0.55,68.5,1.11,132.22
25,2Q,2008,-67.35,-0.85,0.85,3.94,59.73,37.34,1381.138,4.7,3.94,0.26,-2.05,1.41,0.72,90.52,0.93,166.64
26,3Q,2008,-2.9,8.56,-0.87,2.74,0.34,-5.88,1225.45,4.49,2.74,0.06,-4.88,1.16,0.9,57.25,0.78,158.02
27,4Q,2008,112.01,20.35,-3.36,0.16,-46.11,-36.61,1124.539,-0.41,0.16,0.01,-5.56,1.95,-0.02,-35.22,0.39,78.26
28,1Q,2009,169.19,15.65,-3.25,-2.25,-47.74,-45.54,1214.524,-1.35,-2.25,0.13,-4.7,3.76,-1.13,-55.91,0.3,57.52
29,2Q,2009,152.23,4.38,-2.14,-1.98,-30.69,-47.42,1168.246,2.38,-1.98,0.38,-5.79,3.86,-1.19,-51.84,0.81,79.58
30,3Q,2009,120.7,2.24,-0.01,-0.61,28.66,-23.9,1173.816,4.1,-0.61,1.35,-3.4,4.35,-1.17,-42.45,2.75,90.83
31,4Q,2009,-37.73,-9.83,1.61,1.93,171.51,18.72,1215.004,7.02,1.93,1.38,-2.63,4.85,-0.68,29.51,3.63,101.03
32,1Q,2010,-67.73,-8.79,2.28,4.82,144.93,20.38,1312.362,6.65,4.82,1.84,-1.21,5.19,0.07,82.68,4.19,104.5
33,2Q,2010,-3.26,-1.25,3.23,5.41,54.47,2.62,1365.001,4.91,5.41,2.08,1.75,5.45,0.03,30.55,4.5,102.71
34,3Q,2010,-34,0.89,3.63,5.23,41.95,9.88,1284.169,3.65,5.23,1.63,3.62,5.33,-0.22,11.74,2.9,100.04
35,4Q,2010,14.26,-2.03,3.72,5.05,43.02,16.67,1404.16,5.98,5.05,1.55,1.78,5.29,-0.05,12.14,2.2,111.44
36,1Q,2011,-36.13,-1.32,2.05,4.77,62.9,28.31,1529.703,4.12,4.77,0.7,0.26,4.46,0.75,19.36,0.63,122.41
37,2Q,2011,-78.3,0.75,0.06,4.06,55.55,25.76,1562.207,2.31,4.06,-0.1,-1.98,3.89,0.97,31.11,-1.64,131.81
38,3Q,2011,-84.54,-3.15,0.48,3.78,26.34,-0.07,1491.533,2.46,3.78,0.15,-1.26,3.19,1.62,17.65,-1.23,115.02
39,4Q,2011,-80.18,-4.09,0.08,3.43,-1.79,-13.37,1353.651,2.36,3.43,0.37,-1.96,3.29,1.48,10.4,-0.67,120.78
40,1Q,2012,3.21,1.1,0.87,3.46,-15.99,-16.31,1475.075,3.48,3.46,0.94,-1.47,2.66,1.04,9.43,0.52,131.37
41,2Q,2012,-4.4,-1,1.86,3.23,-17.34,-14.36,1509.067,3.48,3.23,0.83,0.34,2.58,0.72,-8.56,1.73,118.56
42,3Q,2012,57.01,-0.99,0.99,3.12,0.59,5.92,1482.75,4.27,3.12,0.5,-2.04,2.48,0.1,2.99,1.12,116.41
43,4Q,2012,55.63,2.41,2.01,2.87,-5.25,-1.14,1547.422,4.99,2.87,1.08,-0.77,2.85,-0.21,-6.46,0.96,110.67
44,1Q,2013,2.57,-5.12,1.78,2.73,-3.93,-3.12,1608.228,4.84,2.73,0.58,-1.09,3.27,-0.83,-8.37,0.03,118.19
45,2Q,2013,-32.62,-10.05,2.03,3.1,-9.97,-8.09,1771.813,3.89,3.1,1.58,0.22,2.8,-0.25,0.82,0.9,117.51
46,3Q,2013,-39.55,-10.13,1.84,3.41,-17.47,-14.41,1867.111,2.93,3.41,2.38,0.76,2.27,0.2,14.82,1.27,131.51
47,4Q,2013,-95.19,-7.85,0.96,3.71,-21.73,-9.58,1715.581,1.54,3.71,2,0.38,2.57,0.31,10.78,0.61,120.54
48,1Q,2014,-73.93,-6.3,1.58,3.48,-21.65,-2.15,1629.872,3.01,3.48,2.2,0.17,2.47,0.7,4.61,1.51,121.54
49,2Q,2014,1.97,-2.05,1.71,3.46,-7.26,8.16,1664.088,4.95,3.46,2.46,-1.55,2.6,0.05,9.89,1.72,126.62
50,3Q,2014,35.69,4.7,1.69,3.37,-16.38,-6.62,1594.373,4.24,3.37,2.38,-0.86,2.45,-0.4,-7.52,2.82,119.39
51,4Q,2014,144.65,13.18,1.75,3.24,-19.21,-17.04,1470.448,3.75,3.24,2.78,-0.25,2.36,-0.17,-24.91,4.09,89.28
52,1Q,2015,208.81,18.82,1.54,3.45,-27.22,-27.06,1680.264,1.21,3.45,2.52,1.88,2.18,0.01,-50.87,2.93,59.16
53,2Q,2015,225.6,10.87,2.05,3.35,-25.73,-23.72,1689.047,2.14,3.35,1.71,1.95,1.62,0.63,-44.02,2.57,70.19
54,3Q,2015,230.51,8.9,2.62,3.2,-34.19,-26.01,1686.252,2.76,3.2,1.49,2.48,1.51,0.59,-52.43,2.21,56.34
55,4Q,2015,282.73,0.47,1.47,3.05,-42.77,-24.7,1664.322,2.49,3.05,0.44,0.41,1.65,0.5,-42.72,0.91,50.76
56,1Q,2016,251.55,-3.57,2.04,3.07,-39.2,-19.66,1779.407,3.81,3.07,-0.04,0.24,1.67,0.4,-31.21,1.02,40.39
57,2Q,2016,203.66,1.46,1.65,3.09,-30.38,-13.48,1732.578,2.4,3.09,-0.88,0.84,1.58,0.05,-21.42,-0.24,54.7
58,3Q,2016,136.72,-0.96,0.92,3.13,-16.26,-2.82,1795.205,1.25,3.13,-1.14,0.56,1.2,0.31,-3.66,-0.94,53.82
59,4Q,2016,22.42,-3.9,1.56,3.51,17.35,11.4,1966.125,1.35,3.51,-0.67,1.79,1.23,0.42,17.27,0.21,58.71
60,1Q,2017,7.64,-4.29,1.52,3.54,12.02,8.28,2159.287,2.65,3.54,-0.12,0.33,2.37,-0.22,54.82,0.62,61.33
61,2Q,2017,-48.37,-1.81,2.99,3.74,-12.37,-7.02,2200.752,3.58,3.74,0.81,2.34,2.3,-0.24,5.82,1.73,56.98
62,3Q,2017,-109.94,-3.96,2.41,3.97,-10.56,-1.03,2266.615,3.74,3.97,0.93,0.99,2.12,-0.42,7.37,2.43,56.75
63,4Q,2017,-146,-5.94,2.7,3.99,-10.83,0.75,2502.724,3.82,3.99,1.04,1.53,2.26,-0.44,12.37,1.62,64.73
64,1Q,2018,-227.82,-6.34,1.59,4.17,3.84,2.49,2514.988,1.24,4.17,1.65,1.97,1.82,0.13,21.83,1.74,73.21
65,2Q,2018,-214.53,-10.73,0.14,3.95,13.98,5.82,2579.771,0.25,3.95,2.41,0.02,1.8,0.11,41.5,2.02,78.66
66,3Q,2018,-108.12,-2.78,0.83,3.37,1.8,0.88,2323.193,0.81,3.37,3.38,0.85,1.33,0.3,44.71,2.27,80.19
67,4Q,2018,11,5.76,-0.13,2.94,-19.33,-12.99,2101.09,0.52,2.94,3.4,-0.84,0.95,0.63,7.83,1.99,68.29
68,1Q,2019,54.78,4.06,0.55,2.86,-27.06,-7.3,2042.291,1.29,2.86,2.25,-0.24,2.19,-0.11,-12.85,1.1,62.63
69,2Q,2019,116.3,6.08,0.76,2.95,-34.94,-8.87,2080.808,1.32,2.95,1.98,0.14,2.46,-0.28,-12.03,1.02,68.06
70,3Q,2019,72.52,-0.51,0.82,2.99,-39.78,-8.71,2051.239,1.41,2.99,1.31,0.17,2.28,-1.1,-19.14,-0.42,63.84
71,4Q,2019,16.55,-8.12,0.77,2.61,-28.24,5.44,2132.981,1.41,2.61,1.66,0.06,2.07,-0.9,-4.58,0.61,64.2
80,1Q,2022,-309.83,-10.38,5.51,4.45,104.19,49.09,1985.798,3.84,4.45,2.92,7.53,3.12,1.59,63.85,3.2,97.56
81,2Q,2022,-217.58,-11.51,3.07,3.63,53.97,23.81,1742.176,3.42,3.63,1.49,2.65,2.59,1.77,64.58,0.87,109.19
82,3Q,2022,-18.68,-2.6,2.5,3.43,13.76,10.65,1545.646,3.94,3.43,2.07,0.85,1.67,1.3,31.81,1.62,92.26
83,4Q,2022,129.21,2.46,0.85,2.32,-6.3,13.75,1444.743,3.89,2.32,1.59,-2.55,2.29,0.63,7.01,1.49,81.22
84,1Q,2023,144.34,10.45,1.87,2.79,-40.9,-15.19,1725.076,4.12,2.79,2.25,-0.75,3.08,-0.06,-20.19,2.64,73.96
85,2Q,2023,127.16,17.06,2.92,3.55,,,1877.983,4.51,3.55,2.53,1.03,3.03,-0.12,-32.54,3.19,71.22
86,3Q,2023,76.92,-3.14,2.03,3.25,,,1726.86,3.91,3.25,2.39,-0.2,4.23,-1.83,-11.62,3.34,79.08
87,4Q,2023,-4.28,1.76,2.67,3.33,,,1644.056,4.04,3.33,2.94,1.04,4.38,-1.57,-4.91,3.91,75.31
88,1Q,2024,8.93,-3.86,1.41,3.21,,,1688.014,3.37,3.21,1.02,-0.98,4.4,-0.9,2.03,1.73,73.68
89,2Q,2024,52.9,-4.82,0.78,3.12,,,1778.903,1.35,3.12,1.25,0.06,4.48,-1.18,11.27,2.3,77.26
90,3Q,2024,-17.83,10.43,0.52,2.95,,,1784.134,0.55,2.95,0.3,0.5,4.52,-0.01,-7.08,0.87,71.86
91,4Q,2024,-0.34,-2.13,0.95,3.07,,,1765.45,1.23,3.07,-0.37,0.62,4.77,0,-10.03,0.09,66.11
