,year,quater,Inventory Change,Spread Change,Dow Jones UBS Commodity Index,Spare Capacity,Saudi Production Change,WTI Production Change,Producers/Merchants short,Producers/Merchants net,Money Managers Long,Money Managers Short,Money Managers Net,Opec Disruption,Non-OPEC Disruption,World Consumption Change,non-OECD Consumption Growth,non-OPEC Production change,y-o-y % OECD Consumption Change,Capacity percent change,WTI Real Price (GDP Deflated)
57,2016,Q2,203.66,1.46,-13.48,1.58,0.05,-21.42,-465.8466667,-283.64,282.0,-86.42333333,195.5766667,2.436666667,0.736666667,1.65,2.4,-0.88,0.84,-0.24,54.7
58,2016,Q3,136.72,-0.96,-2.82,1.2,0.31,-3.66,-497.74,-267.28,300.0,-149.5833333,150.4233333,2.343333333,0.37,0.92,1.25,-1.14,0.56,-0.94,53.82
59,2016,Q4,22.42,-3.9,11.4,1.23,0.42,17.27,-536.6866667,-277.5733333,329.7533333,-100.24,229.5166667,1.933333333,0.326666667,1.56,1.35,-0.67,1.79,0.21,58.71
60,2017,Q1,7.64,-4.29,8.28,2.37,-0.22,54.82,-659.8566667,-298.7433333,400.7233333,-82.95,317.77,1.806666667,0.243333333,1.52,2.65,-0.12,0.33,0.62,61.33
61,2017,Q2,-48.37,-1.81,-7.02,2.3,-0.24,5.82,-615.9666667,-215.26,305.5233333,-134.8166667,170.71,1.6,0.52,2.99,3.58,0.81,2.34,1.73,56.98
62,2017,Q3,-109.94,-3.96,-1.03,2.12,-0.42,7.37,-565.6233333,-152.6933333,335.4366667,-123.26,212.1766667,1.173333333,0.476666667,2.41,3.74,0.93,0.99,2.43,56.75
63,2017,Q4,-146.0,-5.94,0.75,2.26,-0.44,12.37,-498.2133333,-88.01333333,427.7666667,-61.91333333,365.86,1.19,0.27,2.7,3.82,1.04,1.53,1.62,64.73
64,2018,Q1,-227.82,-6.34,2.49,1.82,0.13,21.83,-484.6533333,-88.29,497.9733333,-29.12666667,468.8466667,1.113333333,0.37,1.59,1.24,1.65,1.97,1.74,73.21
65,2018,Q2,-214.53,-10.73,5.82,1.8,0.11,41.5,-495.8166667,-51.25,401.58,-33.43,368.1533333,1.336666667,0.23,0.14,0.25,2.41,0.02,2.02,78.66
66,2018,Q3,-108.12,-2.78,0.88,1.33,0.3,44.71,-442.0866667,-57.93,379.6433333,-20.86666667,358.7766667,1.54,0.133333333,0.83,0.81,3.38,0.85,2.27,80.19
67,2018,Q4,11.0,5.76,-12.99,0.95,0.63,7.83,-445.9966667,14.69333333,224.87,-94.48333333,130.3866667,1.953333333,0.253333333,-0.13,0.52,3.4,-0.84,1.99,68.29
68,2019,Q1,54.78,4.06,-7.3,2.19,-0.11,-12.85,-498.27,-49.01333333,251.49,-61.95666667,189.5333333,2.42,0.376666667,0.55,1.29,2.25,-0.24,1.1,62.63
69,2019,Q2,116.3,6.08,-8.87,2.46,-0.28,-12.03,-446.6833333,-9.106666667,271.9366667,-45.76666667,226.1733333,2.41,0.213333333,0.76,1.32,1.98,0.14,1.02,68.06
70,2019,Q3,72.52,-0.51,-8.71,2.28,-1.1,-19.14,-413.7833333,17.89,257.44,-63.1,194.3366667,3.086666667,0.386666667,0.82,1.41,1.31,0.17,-0.42,63.84
71,2019,Q4,16.55,-8.12,5.44,2.07,-0.9,-4.58,-448.23,-6.03,267.8533333,-60.71333333,207.14,2.81,0.216666667,0.77,1.41,1.66,0.06,0.61,64.2
72,2020,Q1,111.36,15.86,-23.71,2.78,-0.2,-17.31,-451.9366667,7.516666667,248.9166667,-89.22,159.6966667,3.536666667,0.176666667,-6.64,-8.07,2.32,-5.08,1.46,50.97
73,2020,Q2,288.42,3.57,-18.43,5.22,-0.64,-53.3,-525.3133333,-124.35,413.3733333,-57.35666667,356.0166667,3.633333333,0.736666667,-13.99,-8.12,-4.08,-20.58,-5.18,31.54
74,2020,Q3,242.72,6.01,-8.91,6.72,-0.61,-27.44,-452.43,-93.28666667,413.6766667,-85.00333333,328.6766667,3.62,0.653333333,-9.44,-6.74,-4.04,-12.42,-4.57,45.72
75,2020,Q4,150.15,4.0,-3.5,6.02,-0.82,-25.26,-458.9266667,-90.00333333,397.53,-76.59666667,320.9333333,2.72,0.563333333,-8.1,-6.23,-4.78,-10.17,-4.83,47.2
76,2021,Q1,-56.73,-18.89,34.9,6.12,-1.31,28.13,-574.8133333,-78.66,412.9566667,-60.82666667,352.13,2.233333333,0.566666667,0.52,7.12,-4.63,-6.43,-4.34,63.7
77,2021,Q2,-334.64,-8.55,45.5,5.97,-0.75,136.71,-648.3533333,-98.69333333,397.9466667,-55.51,342.4366667,1.88,0.446666667,11.38,7.09,2.56,16.95,3.69,71.5
78,2021,Q3,-411.84,-9.02,42.21,4.52,0.78,72.69,-502.9033333,4.686666667,337.5933333,-79.43666667,258.1566667,1.916666667,0.71,6.51,5.29,2.41,7.93,3.8,75.13
79,2021,Q4,-384.47,-4.9,27.05,3.72,0.86,81.81,-431.77,24.52,315.76,-62.69666667,253.0633333,1.94,0.613333333,6.73,4.83,2.88,8.94,3.6,80.83
80,2022,Q1,-309.83,-10.38,49.09,3.12,1.59,63.85,-414.77,74.83333333,281.47,-45.09666667,236.3733333,1.91,0.61,5.51,3.84,2.92,7.53,3.2,97.56
81,2022,Q2,-217.58,-11.51,23.81,2.59,1.77,64.58,-367.81,64.45333333,270.6,-33.13,237.47,2.356666667,0.423333333,3.07,3.42,1.49,2.65,0.87,109.19
82,2022,Q3,-18.68,-2.6,10.65,1.67,1.3,31.81,-334.23,81.59666667,211.77,-49.44,162.3366667,2.393333333,0.276666667,2.5,3.94,2.07,0.85,1.62,92.26
83,2022,Q4,129.21,2.46,13.75,2.29,0.63,7.01,-334.45,12.99,198.6866667,-44.52666667,154.16,2.053333333,0.283333333,0.85,3.89,1.59,-2.55,1.49,81.22
84,2023,Q1,144.34,10.45,-15.19,3.08,-0.06,-20.19,-476.4533333,11.32,196.79,-65.02,131.77,1.863333333,0.266666667,1.87,4.12,2.25,-0.75,2.64,73.96
85,2023,Q2,127.16,17.06,,3.03,-0.12,-32.54,-511.1666667,25.26,200.78,-97.86333333,102.9166667,2.183333333,0.41,2.92,4.51,2.53,1.03,3.19,71.22
86,2023,Q3,76.92,-3.14,,4.23,-1.83,-11.62,-435.57,19.08333333,266.85,-48.09,218.76,1.9,0.163333333,2.03,3.91,2.39,-0.2,3.34,79.08
87,2023,Q4,-4.28,1.76,,4.38,-1.57,-4.91,-338.5866667,89.79666667,209.56,-102.3,107.26,1.38,0.186666667,2.67,4.04,2.94,1.04,3.91,75.31
88,2024,Q1,8.93,-3.86,,4.4,-0.9,2.03,-388.88,94.57666667,227.43,-57.48333333,169.95,1.463333333,0.39,1.41,3.37,1.02,-0.98,1.73,73.68
89,2024,Q2,52.9,-4.82,,4.48,-1.18,11.27,-428.4866667,85.48,246.9366667,-53.76,193.18,1.39,0.263333333,0.78,1.35,1.25,0.06,2.3,77.26
90,2024,Q3,-17.83,10.43,,4.52,-0.01,-7.08,-414.18,128.1533333,216.2733333,-36.84,179.4333333,1.553333333,0.366666667,0.52,0.55,0.3,0.5,0.87,71.86
91,2024,Q4,-0.34,-2.13,,4.77,0.0,-10.03,-362.635,207.055,176.68,-77.66,99.02,1.303333333,0.32,0.95,1.23,-0.37,0.62,0.09,66.11
