,wti,uranium,coal,lng
2007-12-01,91.7747619047619,91.8,98.9097744360902,10.27
2008-01-01,92.9826086956522,87.5555555555555,98.4862012987013,10.5
2008-02-01,95.3614285714286,76.0,141.887755102041,10.75
2008-03-01,105.50380952381,73.7142857142857,137.763157894737,10.63
2008-04-01,112.336363636364,69.4444444444444,131.737012987013,11.48
2008-05-01,125.671363636364,61.6666666666667,143.075892857143,12.3
2008-06-01,133.928095238095,59.0,166.989795918367,13.31
2008-07-01,133.958260869565,61.84375,195.186335403727,14.08
2008-08-01,116.697142857143,64.5,173.303571428571,13.81
2008-09-01,104.443636363636,63.0,164.498376623377,12.6
2008-10-01,76.2839130434783,48.6,119.366459627329,13.15
2008-11-01,56.968,50.5,101.382321428571,9.1
2008-12-01,40.644347826087,54.3333333333333,82.6086734693877,7.38
2009-01-01,41.6309090909091,51.4444444444444,85.5617346938775,6.03
2009-02-01,39.0785,47.0,80.8226785714285,5.83
2009-03-01,47.98,43.375,65.4521103896103,6.25
2009-04-01,49.9059090909091,41.71875,66.2705357142857,6.47
2009-05-01,59.2571428571428,48.5555555555555,67.0150375939849,6.79
2009-06-01,69.6722727272727,51.5,75.8133116883116,6.97
2009-07-01,64.2086956521739,49.7,77.6203416149068,8.05
2009-08-01,71.0642857142857,47.1875,77.8821428571428,8.48
2009-09-01,69.3977272727273,44.2777777777778,73.1493506493506,8.55
2009-10-01,75.8236363636364,46.1111111111111,75.7037337662337,8.75
2009-11-01,77.972380952381,44.75,82.2653061224489,8.56
2009-12-01,74.625652173913,44.4375,86.3596938775509,9.16
2010-01-01,78.4185714285714,43.825,100.14375,9.34
2010-02-01,76.308,42.1,98.1589285714284,9.01
2010-03-01,81.2421739130435,40.9111111111111,100.099378881987,9.17
2010-04-01,84.4977272727273,41.325,104.9625,9.34
2010-05-01,73.8423809523809,41.3,107.93515037594,10.04
2010-06-01,75.3490909090909,40.7777777777778,104.483766233766,9.28
2010-07-01,76.1772727272727,41.9444444444444,102.861525974026,9.09
2010-08-01,76.6181818181818,46.0625,96.8469387755101,8.85
2010-09-01,75.2736363636364,46.6666666666667,100.117207792208,8.98
2010-10-01,81.902380952381,48.8333333333333,103.207142857143,9.52
2010-11-01,84.1486363636364,57.1625,112.583766233766,10.0
2010-12-01,89.3669565217391,60.625,123.785714285714,9.95
2011-01-01,89.5238095238095,63.875,140.993571428571,10.81
2011-02-01,89.414,65.0,134.624464285714,11.89
2011-03-01,102.935652173913,63.5,135.971273291925,12.18
2011-04-01,110.147619047619,57.8214285714286,131.525595238095,14.41
2011-05-01,101.299090909091,56.0625,127.962857142857,15.75
2011-06-01,96.2886363636364,55.4,128.362012987013,16.29
2011-07-01,97.0780952380952,52.7888888888889,128.989285714286,16.29
2011-08-01,86.334347826087,50.6833333333333,127.462012987013,17.7
2011-09-01,85.6481818181818,51.9833333333333,130.561850649351,17.78
2011-10-01,86.4119047619048,52.3375,127.912755102041,17.6
2011-11-01,97.1090909090909,53.1944444444444,122.745292207792,17.89
2011-12-01,98.5668181818182,52.1785714285714,118.176428571428,18.05
2012-01-01,100.102272727273,52.3125,123.085714285714,17.46
2012-02-01,102.297142857143,52.0555555555556,124.966836734694,16.71
2012-03-01,106.187272727273,51.2888888888889,114.150974025974,18.42
2012-04-01,103.325714285714,51.3,110.353759398496,19.57
2012-05-01,94.5347826086957,51.8888888888889,103.81948051948,18.33
2012-06-01,82.4004761904762,50.8333333333333,92.7546992481201,19.38
2012-07-01,87.9190909090909,50.3555555555556,91.3641233766233,19.1
2012-08-01,94.1182608695652,49.25,93.456331168831,18.39
2012-09-01,94.7045,47.725,93.181607142857,18.76
2012-10-01,89.5965217391304,44.6111111111111,86.885403726708,17.27
2012-11-01,86.7209090909091,41.5,87.2196428571427,16.83
2012-12-01,88.2628571428571,43.6666666666667,96.0761278195487,17.52
2013-01-01,94.7295652173913,42.75,96.9521103896102,17.79
2013-02-01,95.3095,43.40625,100.347321428571,17.72
2013-03-01,93.1990476190476,42.28125,97.3167857142855,18.31
2013-04-01,92.0677272727273,41.4125,93.233163265306,17.71
2013-05-01,94.7669565217391,40.605,93.1260204081631,16.94
2013-06-01,95.7695,39.9375,89.6426785714284,17.69
2013-07-01,104.42652173913,38.0222222222222,82.222360248447,16.98
2013-08-01,106.435454545455,34.9941626409018,82.2214285714284,17.0
2013-09-01,106.395238095238,34.4532867494824,83.2959183673468,17.01
2013-10-01,100.556956521739,34.8484955891619,85.4436335403726,16.49
2013-11-01,93.8509523809524,35.59200310559,88.3632653061223,16.71
2013-12-01,97.8904545454545,34.5932971014493,89.4444642857142,17.72
2014-01-01,94.9630434782609,35.2149889729048,87.9735389610388,17.76
2014-02-01,100.705,35.5467391304348,83.0276785714285,17.96
2014-03-01,100.568095238095,34.7028554175293,79.7530612244897,17.81
2014-04-01,102.175,32.7445652173913,78.5207142857142,17.67
2014-05-01,101.996363636364,28.5398550724638,78.8346428571427,17.68
2014-06-01,105.234761904762,28.2254572118702,77.348469387755,17.51
2014-07-01,102.948260869565,28.4002047889099,74.0380434782607,17.43
2014-08-01,96.3171428571429,30.8293219461698,74.2483928571428,16.23
2014-09-01,93.2718181818182,34.3718297101449,71.5256493506492,15.7
2014-10-01,84.4060869565217,35.7517328292375,68.9846273291924,15.23
2014-11-01,75.7075,40.5973731884058,67.3307142857142,16.41
2014-12-01,59.1395652173913,36.9482514177693,67.1622448979591,16.58
2015-01-01,47.5572727272727,35.8977272727273,64.7163265306122,15.5
2015-02-01,50.857,38.1875,70.659107142857,14.69
2015-03-01,47.7822727272727,39.3181818181818,68.3449675324675,13.05
2015-04-01,54.3786363636364,38.8409090909091,61.1978571428571,11.02
2015-05-01,59.3885714285714,35.6904761904762,65.6712406015037,9.04
2015-06-01,59.8286363636364,36.0454545454545,63.1047077922077,8.79
2015-07-01,51.1986956521739,36.2826086956522,64.4832298136645,9.32
2015-08-01,42.9128571428571,36.0952380952381,63.3932142857142,10.16
2015-09-01,45.51,37.0568181818182,61.7654220779219,10.01
2015-10-01,46.2686363636364,37.2386363636364,57.3306818181817,10.37
2015-11-01,42.5852380952381,35.9642857142857,55.7780612244897,9.4
2015-12-01,37.3960869565217,35.1630434782609,55.8658163265305,10.15
2016-01-01,31.7842857142857,34.6904761904762,53.4289285714285,8.46
2016-02-01,30.377619047619,34.0071428571429,53.7816326530611,7.99
2016-03-01,37.9017391304348,30.1065217391304,55.4352040816325,8.01
2016-04-01,41.0319047619048,27.8166666666667,54.6586734693876,6.68
2016-05-01,46.8418181818182,27.9545454545455,54.5271428571427,6.81
2016-06-01,48.7918181818182,27.3522727272727,56.2285714285713,7.08
2016-07-01,44.8961904761905,25.8452380952381,64.4183673469387,6.85
2016-08-01,44.7517391304348,25.9021739130435,71.3269480519479,7.42
2016-09-01,45.2,24.875,76.3738636363635,7.79
2016-10-01,49.8095238095238,21.4880952380952,96.2397959183672,7.93
2016-11-01,45.4709090909091,18.5681818181818,111.428084415584,7.16
2016-12-01,52.0527272727273,19.2159090909091,93.1344642857141,7.09
2017-01-01,52.5618181818182,22.1704545454545,91.4244897959182,9.17409090909091
2017-02-01,53.45,25.15,85.9692857142856,7.128
2017-03-01,49.3630434782609,24.6413043478261,86.3338509316768,5.79478260869565
2017-04-01,51.174,23.25,90.1107142857141,5.7095
2017-05-01,48.5595652173913,21.6413043478261,80.1183673469386,5.7190625
2017-06-01,45.1854545454545,19.75,85.6733766233764,5.52363636363636
2017-07-01,46.5819047619048,20.3642857142857,90.7739795918366,5.63190476190476
2017-08-01,48.0478260869565,20.4065217391304,102.772402597402,6.13086956521739
2017-09-01,49.7357142857143,20.4285714285714,104.775,7.08428571428571
2017-10-01,51.5731818181818,20.2340909090909,103.249675324675,8.79272727272727
2017-11-01,56.7381818181818,22.3454545454545,102.487012987013,9.57142857142857
2017-12-01,57.9204761904762,24.6904761904762,105.968796992481,10.7090476190476
2018-01-01,63.5847826086957,23.3695652173913,111.93262987013,11.6695652173913
2018-02-01,62.227,21.7625,111.477321428571,10.471
2018-03-01,62.8304545454545,21.7272727272727,105.72806122449,8.46090909090909
2018-04-01,66.3138095238095,20.8452380952381,99.2233928571427,7.47523809523809
2018-05-01,69.8986956521739,21.9782608695652,109.375,8.61260869565217
2018-06-01,67.8761904761905,23.0714285714286,121.524489795918,10.437619047619
2018-07-01,71.0745454545455,23.4159090909091,125.085876623376,9.97227272727273
2018-08-01,67.9273913043478,26.0478260869565,123.734902597402,10.5904347826087
2018-09-01,70.1905,27.1075,122.229107142857,11.0905
2018-10-01,70.7530434782609,27.5086956521739,114.762111801242,10.035652173913
2018-11-01,56.1881818181818,28.9340909090909,107.552922077922,9.77727272727273
2018-12-01,48.9190476190476,28.7619047619048,106.143609022556,8.95190476190476
2019-01-01,51.2273913043478,28.7108695652174,105.401298701298,8.28565217391304
2019-02-01,54.996,28.645,101.357142857143,6.501
2019-03-01,58.1704761904762,27.202380952381,99.6698979591835,5.2452380952381
2019-04-01,63.8704545454546,25.7045454545455,88.7646428571427,5.0797619047619
2019-05-01,60.74,24.6847826086956,89.5642857142855,5.03326086956522
2019-06-01,54.666,24.475,77.6298214285713,4.38925
2019-07-01,57.3760869565217,25.2282608695652,77.8458074534159,4.41934782608696
2019-08-01,54.8304545454545,25.2840909090909,69.7392857142855,4.28022727272727
2019-09-01,56.86,25.4119047619048,66.9586734693876,5.05452380952381
2019-10-01,53.9608695652174,24.9173913043478,69.1942546583849,6.01739130434783
2019-11-01,56.6776190476191,24.9880952380952,69.7290816326529,5.45642857142857
2019-12-01,59.8677272727273,25.625,70.4646428571427,5.57340909090909
2020-01-01,57.7169565217391,24.6413043478261,72.1061688311687,4.91369565217391
2020-02-01,50.608,24.6875,71.0501785714284,2.92025
2020-03-01,29.3204545454545,24.6613636363636,70.20487012987,3.27886363636364
2020-04-01,16.975,29.9636363636364,64.6199999999999,2.12636363636364
2020-05-01,28.7814285714286,33.5119047619048,54.1483082706766,2.03214285714286
2020-06-01,38.3145454545455,33.0886363636364,55.0027597402597,2.05045454545455
2020-07-01,40.7152173913043,32.3608695652174,51.672204968944,2.28695652173913
2020-08-01,42.3709523809524,31.3761904761905,51.3824999999999,3.62571428571429
2020-09-01,39.5981818181818,29.9818181818182,52.0056818181817,4.60977272727273
2020-10-01,39.405,29.6363636363636,58.0694805194804,6.12181818181818
2020-11-01,41.3890476190476,29.4857142857143,62.9464285714284,6.82214285714286
2020-12-01,47.0704347826087,29.7739130434783,80.5897959183672,11.6089130434783
2021-01-01,51.8495238095238,29.8571428571429,90.995357142857,20.4152380952381
2021-02-01,59.2345,28.6625,92.4857142857141,7.16875
2021-03-01,62.1839130434783,28.3347826086957,95.2309006211178,6.44347826086957
2021-04-01,61.4177272727273,29.7522727272727,97.8476785714283,7.89413043478261
2021-05-01,65.1609523809524,30.2571428571429,104.207142857143,10.0145
2021-06-01,71.3772727272727,32.1421052631579,132.152922077922,12.0172727272727
2021-07-01,72.5918181818182,32.3386363636364,153.198214285714,14.0968181818182
2021-08-01,67.8722727272727,32.1477272727273,173.568367346938,16.6438636363636
2021-09-01,71.535,45.078125,188.122889610389,24.0629545454545
2021-10-01,81.3642857142857,38.4761904761905,240.732142857142,35.0652380952381
2021-11-01,79.0954545454546,31.099584036973,177.801623376623,31.9635714285714
2021-12-01,71.8021739130435,36.129303027445,181.473979591836,37.4197826086957
2022-01-01,83.277619047619,36.8729211858279,231.760178571428,26.8283333333333
2022-02-01,91.608,35.8319143167028,272.486785714285,27.82325
2022-03-01,108.399130434783,45.5147010280109,353.440527950356,38.7358695652174
2022-04-01,101.985238095238,48.7047309162276,334.718233082678,29.0147619047619
2022-05-01,109.712727272727,40.8916264050483,418.493877551035,21.9377272727273
2022-06-01,114.675909090909,40.331517452179,427.424999999999,29.5381818181818
2022-07-01,101.918095238095,38.9391591777708,433.626530612249,41.1695
2022-08-01,93.6926086956522,39.8023083089691,447.447564935064,54.1575
2022-09-01,84.4,40.9503919345296,467.783673469392,44.6822727273
2022-10-01,87.2866666666667,41.3035972523499,426.909183673499,29.742
2022-11-01,84.0763636363636,40.9540647801222,368.258279220749,25.2177272727
2022-12-01,76.5818181818182,39.1782439361072,427.686964285713,30.7171428571
2023-01-01,78.2513636363636,40.0633997239202,404.535204081642,20.6855263158
2023-02-01,77.0275,41.3143709327548,244.205357142857,15.9625
2023-03-01,73.3482608695652,40.7415230049091,195.999223602535,13.3504347826
2023-04-01,79.1265,41.7620173535791,200.676190476214,12.0110526316
2023-05-01,71.6734782608696,43.4626662265395,179.262321428571,9.9006818182
2023-06-01,70.3068181818182,45.7004831394201,138.631655844107,10.10725
2023-07-01,75.7666666666667,45.2475338291498,141.029591836714,10.8811904762
2023-08-01,81.3726086956522,46.3771809865131,152.792532467571,11.7529545455
2023-09-01,89.2409523809524,53.2027424852803,168.479081632607,13.1515
2023-10-01,85.4690909090909,57.6464134293038,150.738311688321,15.2934090909
2023-11-01,77.5754545454545,62.2859519818575,132.119318181857,15.4138095238
2023-12-01,72.0195238095238,70.0597045759734,149.362218045107,13.05175
